statNm,addr,chgerType,useTime,lat,lng,output,limitYn,limitDetail
광주광산구 송정라인2차 2,광주광역시 광산구 상무대로 137-2,2,24시간 이용가능,35.133895643,126.78834944,7.0,N,외부인 사용불가
광주광산구 수완gs자이아파트,광주광역시 광산구 장덕로95번길 45,2,24시간 이용가능,35.198339527,126.81918885,7.0,N,외부인 사용불가
광주광산구 첨단선경아파트,광주광역시 광산구 첨단중앙로181번길 42-25,2,24시간 이용가능,35.221410216,126.83403219,7.0,N,외부인 사용불가
광주남구 효천LH천년나무4단지 1,광주광역시 남구 효우2로 45,2,24시간 이용가능,35.100704999,126.88785451,7.0,N,외부인 사용불가
광주남구 효천LH천년나무4단지 2,광주광역시 남구 효우2로 45,2,24시간 이용가능,35.100957949,126.88846836,7.0,N,외부인 사용불가
광주남구 효천LH천년나무4단지 3,광주광역시 남구 효우2로 45,2,24시간 이용가능,35.101434271,126.88695414,7.0,N,외부인 사용불가
광주남구 효천LH천년나무4단지 4,광주광역시 남구 효우2로 45,2,24시간 이용가능,35.100799431,126.88714038,7.0,N,외부인 사용불가
광주서구 내방동해태아파트 1,광주광역시 서구 월드컵4강로226번길 14,2,24시간 이용가능,35.155540506,126.87054475,7.0,N,외부인 사용불가
광주서구 내방동해태아파트 2,광주광역시 서구 월드컵4강로226번길 14,2,24시간 이용가능,35.155817395,126.87053695,7.0,N,외부인 사용불가
광주서구 내방동해태아파트 3,광주광역시 서구 월드컵4강로226번길 14,2,24시간 이용가능,35.155375521,126.87034285,7.0,N,외부인 사용불가
광주서구 종원팰리스빌 1,광주광역시 서구 화개1로 59-3,2,24시간 이용가능,35.129406555,126.85362269,7.0,N,외부인 사용불가
