statNm,addr,chgerType,useTime,sido,type_nm,is_24h
고성공룡나라(통영) 휴게소,경상남도 고성군 대가면 통영대전고속도로 29 (송계리),6,24시간 이용가능,경상,초급속,True
고성공룡나라(대전) 휴게소,경상남도 고성군 대가면 통영대전고속도로 32 (신전리),6,24시간 이용가능,경상,초급속,True
금산인삼랜드(대전) 휴게소,충청남도 금산군 군북면 대암길 34-30 (외부리),6,24시간 이용가능,충청,초급속,True
함양(통영) 휴게소,경상남도 함양군 지곡면 효산길 23-31 (보산리),6,24시간 이용가능,경상,초급속,True
함양(대전) 휴게소,경상남도 함양군 지곡면 효산길 23-11 (보산리),6,24시간 이용가능,경상,초급속,True
서여주(양평) 휴게소,경기도 여주시 능서면 중부내륙고속도로 272 (매류리),6,24시간 이용가능,경기,초급속,True
괴산(양평) 휴게소,충청북도 괴산군 장연면 중부내륙고속도로 204 (오가리),6,24시간 이용가능,충청,초급속,True
칠서(양평) 휴게소,경상남도 함안군 칠서면 계룡로 122-1 (계내리),6,24시간 이용가능,경상,초급속,True
하남드림 휴게소,경기도 하남시 중부고속도로 117-1 (천현동),6,24시간 이용가능,경기,초급속,True
충주(창원) 휴게소,충청북도 충주시 중앙탑면 중부내륙고속도로 231 (용전리),6,24시간 이용가능,충청,초급속,True
충주(양평) 휴게소,충청북도 충주시 중앙탑면 중부내륙고속도로 230 (용전리),6,24시간 이용가능,충청,초급속,True
동명(춘천) 휴게소,경상북도 칠곡군 동명면 중앙고속도로 122 (가천리),6,24시간 이용가능,경상,초급속,True
원주(부산) 휴게소,강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211,6,24시간 이용가능,강원,초급속,True
